,,,,,,,,,,,,,,,"Do not use in model, ok to use to test",
VRM,OfferDate,Condition,Age,Mileage,PreviousOwners,ServiceHistory,Make,Model,TransmissionType,FuelType,Colour,BodyType,TradeValuation1,,CompetitorB,CompetitorC
ST58FSX,2021-04-05,average,12.4,"156,000",2,none,Ford,Mondeo,,,Silver,,£340,,£422,£540
LS09FFO,2021-04-05,poor,12,"54,999",1,partial,Fiat,500,,,White,,"£1,771",,"£1,365","£1,245"
ND10PJO,2021-04-05,good,10.8,"72,000",1,none,Citroen,C1,,,Blue,,£920,,£675,£987
LT64VJV,2021-04-05,excellent,6.6,"88,943",2,full,Volvo,V40,,,White,,"£4,283",,"£2,180","£4,794"
EY08LBZ,2021-04-05,average,13.1,"108,000",2,partial,Ford,Fiesta,,,White,,£560,,£428,£540
BN12OCB,2021-04-05,average,9,"72,000",3,partial,Nissan,Juke,,,White,,"£3,123",,"£2,349","£2,679"
EJ16KVG,2021-04-05,good,4.9,"42,000",1,full,Renault,Clio,,,White,,"£3,825",,"£3,960","£3,807"
CE62HBG,2021-04-05,good,8.4,"90,000",2,none,Renault,Clio,,,Blue,,"£1,118",,£591,£963
972ARW,2021-04-05,good,13,"184,000",1,full,Mercedes-Benz,E Class,,,Silver,,£975,,"£1,145","£1,198"
BN60KMF,2021-04-05,average,10.5,"60,000",0,full,Audi,A3,,,Black,,"£3,338",,"£3,004","£3,290"
EK62OLU,2021-04-05,poor,8.5,"76,000",4,partial,Ford,Focus,,,Red,,"£2,700",,£394,"£1,786"
SG59FOT,2021-04-05,average,11.6,"102,000",3,full,Nissan,Qashqai,,,Silver,,"£1,545",,"£1,158","£1,245"
J18ODX,2021-04-05,good,8.4,"70,000",2,full,MINI,Hatch,,,White,,"£3,137",,"£2,639","£2,867"
WU08XDG,2021-04-05,poor,13.1,"140,000",4,none,Volkswagen,Polo,,,Silver,,£306,,£370,£329
EJ58PUK,2021-04-05,poor,12.2,"94,000",2,none,Ford,Fiesta,,,Blue,,"£1,356",,£743,"£1,010"
BD58NGE,2021-04-05,average,12.3,"149,950",2,none,Audi,A3,,,Black,,"£1,959",,"£1,433","£1,880"
YW13EXG,2021-04-05,good,8,"77,000",2,full,Suzuki,Grand Vitara,,,Silver,,"£5,362",,"£4,077","£3,689"
MX60PFN,2021-04-05,good,10.5,"56,200",3,full,Volvo,S60,,,Blue,,"£3,602",,"£3,711","£3,642"
OY63RPZ,2021-04-05,good,7.5,"51,500",2,full,Audi,A4,,,Grey,,"£7,007",,"£6,653","£6,439"
VE11AOP,2021-04-05,excellent,9.8,"37,000",2,full,Vauxhall,Corsa,,,Red,,"£2,370",,"£2,705","£2,514"
EF10HXU,2021-04-05,good,10.8,"82,000",2,full,Ford,Fiesta,,,Red,,"£1,451",,£977,"£1,433"
GU63YOR,2021-04-05,excellent,7.4,"37,000",2,full,Vauxhall,Corsa,,,Black,,"£4,499",,"£4,555","£4,629"
KP61PJX,2021-04-05,good,9.3,"107,000",3,partial,Mercedes-Benz,C Class,,,Blue,,"£3,397",,"£3,442","£3,055"
EF58MGE,2021-04-05,average,12.1,"92,656",2,partial,Ford,C-Max,,,Silver,,£563,,£460,£705
BF11ORK,2021-04-05,poor,10,"58,000",3,none,Mercedes-Benz,B Class,,,Blue,,"£3,700",,"£2,594","£2,467"
WG09XWR,2021-04-05,good,11.7,"24,500",2,partial,Citroen,C1,,,Red,,"£1,480",,"£1,159","£1,527"
FN57TXD,2021-04-05,poor,13.5,"140,000",4,partial,Vauxhall,Vectra,,,Black,,£175,,£129,£188
BW64ERU,2021-04-05,poor,6.1,"52,400",2,none,Ford,Fiesta,,,Red,,"£3,082",,"£2,354","£2,326"
CN56ZXU,2021-04-05,excellent,14.6,"42,000",2,full,Ford,Fiesta,,,Silver,,£943,,"£1,135",£987
CK56OCD,2021-04-05,poor,14.4,"160,000",2,none,Saab,9-3,,,Black,,£150,,£50,£141
YA13UGV,2021-04-05,good,7.8,"34,075",1,partial,Vauxhall,Corsa,,,White,,"£3,072",,"£3,109","£3,525"
BW64ERU,2021-04-05,poor,6.1,"52,500",2,full,Ford,Fiesta,,,Red,,"£3,079",,"£2,483","£2,326"
GY15YDA,2021-04-05,good,5.9,"102,000",2,full,Land Rover,Discovery Sport,,,Blue,,"£13,457",,"£12,858","£11,985"
P70GDM,2021-04-05,good,11.8,"116,000",3,partial,Mercedes-Benz,C Class,,,Black,,"£2,946",,"£2,409","£2,890"
SA59DLK,2021-04-05,good,11.6,"63,000",1,full,Volkswagen,Golf,,,Blue,,"£2,628",,"£2,409","£2,514"
HV07AOX,2021-04-05,average,14.1,"101,000",3,full,BMW,3 Series,,,Blue,,"£2,222",,"£1,671","£1,668"
PE12ZGD,2021-04-05,poor,9,"102,284",2,full,Ford,Ka,,,Silver,,£989,,£527,£775
DL14FMK,2021-04-05,average,6.8,"54,000",2,partial,Renault,Clio,,,White,,"£3,251",,"£2,951","£3,078"
ML06ZJY,2021-04-05,poor,14.9,"104,874",1,none,Peugeot,107,,,Silver,,£280,,£289,£305
Y70COD,2021-04-05,good,3.8,"64,000",3,full,BMW,X6,,,Black,,"£26,712",,"£26,986","£25,568"
FV62MOU,2021-04-05,poor,8.5,"100,632",4,full,Audi,A3,,,White,,"£2,742",,"£2,252","£2,303"
SP09HSU,2021-04-05,poor,12,"107,300",4,partial,Ford,Focus,,,Blue,,£759,,£446,£611
