VRM,OfferDate,Condition,Age,Mileage,PreviousOwners,ServiceHistory,Make,Model,TransmissionType,FuelType,Colour,BodyType,TradeValuation1,CompetitorB,CompetitorC
ST58FSX,2021-04-05,average,12.4,156000,2,none,Ford,Mondeo,,,Silver,,340,422,540
LS09FFO,2021-04-05,poor,12,54999,1,partial,Fiat,500,,,White,,1771,1365,1245
ND10PJO,2021-04-05,good,10.8,72000,1,none,Citroen,C1,,,Blue,,920,675,987
LT64VJV,2021-04-05,excellent,6.6,88943,2,full,Volvo,V40,,,White,,4283,2180,4794
EY08LBZ,2021-04-05,average,13.1,108000,2,partial,Ford,Fiesta,,,White,,560,428,540
BN12OCB,2021-04-05,average,9,72000,3,partial,Nissan,Juke,,,White,,3123,2349,2679
EJ16KVG,2021-04-05,good,4.9,42000,1,full,Renault,Clio,,,White,,3825,3960,3807
CE62HBG,2021-04-05,good,8.4,90000,2,none,Renault,Clio,,,Blue,,1118,591,963
972ARW,2021-04-05,good,13,184000,1,full,Mercedes-Benz,E Class,,,Silver,,975,1145,1198
BN60KMF,2021-04-05,average,10.5,60000,0,full,Audi,A3,,,Black,,3338,3004,3290
EK62OLU,2021-04-05,poor,8.5,76000,4,partial,Ford,Focus,,,Red,,2700,394,1786
SG59FOT,2021-04-05,average,11.6,102000,3,full,Nissan,Qashqai,,,Silver,,1545,1158,1245
J18ODX,2021-04-05,good,8.4,70000,2,full,MINI,Hatch,,,White,,3137,2639,2867
WU08XDG,2021-04-05,poor,13.1,140000,4,none,Volkswagen,Polo,,,Silver,,306,370,329
EJ58PUK,2021-04-05,poor,12.2,94000,2,none,Ford,Fiesta,,,Blue,,1356,743,1010
BD58NGE,2021-04-05,average,12.3,149950,2,none,Audi,A3,,,Black,,1959,1433,1880
YW13EXG,2021-04-05,good,8,77000,2,full,Suzuki,Grand Vitara,,,Silver,,5362,4077,3689
MX60PFN,2021-04-05,good,10.5,56200,3,full,Volvo,S60,,,Blue,,3602,3711,3642
OY63RPZ,2021-04-05,good,7.5,51500,2,full,Audi,A4,,,Grey,,7007,6653,6439
VE11AOP,2021-04-05,excellent,9.8,37000,2,full,Vauxhall,Corsa,,,Red,,2370,2705,2514
EF10HXU,2021-04-05,good,10.8,82000,2,full,Ford,Fiesta,,,Red,,1451,977,1433
GU63YOR,2021-04-05,excellent,7.4,37000,2,full,Vauxhall,Corsa,,,Black,,4499,4555,4629
KP61PJX,2021-04-05,good,9.3,107000,3,partial,Mercedes-Benz,C Class,,,Blue,,3397,3442,3055
EF58MGE,2021-04-05,average,12.1,92656,2,partial,Ford,C-Max,,,Silver,,563,460,705
BF11ORK,2021-04-05,poor,10,58000,3,none,Mercedes-Benz,B Class,,,Blue,,3700,2594,2467
WG09XWR,2021-04-05,good,11.7,24500,2,partial,Citroen,C1,,,Red,,1480,1159,1527
FN57TXD,2021-04-05,poor,13.5,140000,4,partial,Vauxhall,Vectra,,,Black,,175,129,188
BW64ERU,2021-04-05,poor,6.1,52400,2,none,Ford,Fiesta,,,Red,,3082,2354,2326
CN56ZXU,2021-04-05,excellent,14.6,42000,2,full,Ford,Fiesta,,,Silver,,943,1135,987
CK56OCD,2021-04-05,poor,14.4,160000,2,none,Saab,9-3,,,Black,,150,50,141
YA13UGV,2021-04-05,good,7.8,34075,1,partial,Vauxhall,Corsa,,,White,,3072,3109,3525
BW64ERU,2021-04-05,poor,6.1,52500,2,full,Ford,Fiesta,,,Red,,3079,2483,2326
GY15YDA,2021-04-05,good,5.9,102000,2,full,Land Rover,Discovery Sport,,,Blue,,13457,12858,11985
P70GDM,2021-04-05,good,11.8,116000,3,partial,Mercedes-Benz,C Class,,,Black,,2946,2409,2890
SA59DLK,2021-04-05,good,11.6,63000,1,full,Volkswagen,Golf,,,Blue,,2628,2409,2514
HV07AOX,2021-04-05,average,14.1,101000,3,full,BMW,3 Series,,,Blue,,2222,1671,1668
PE12ZGD,2021-04-05,poor,9,102284,2,full,Ford,Ka,,,Silver,,989,527,775
DL14FMK,2021-04-05,average,6.8,54000,2,partial,Renault,Clio,,,White,,3251,2951,3078
ML06ZJY,2021-04-05,poor,14.9,104874,1,none,Peugeot,107,,,Silver,,280,289,305
Y70COD,2021-04-05,good,3.8,64000,3,full,BMW,X6,,,Black,,26712,26986,25568
FV62MOU,2021-04-05,poor,8.5,100632,4,full,Audi,A3,,,White,,2742,2252,2303
SP09HSU,2021-04-05,poor,12,107300,4,partial,Ford,Focus,,,Blue,,759,446,611
HV57WLA,2021-04-05,poor,13.5,83000,2,partial,MINI,Hatch,,,Yellow,,1576,1152,1316
EO10ZDS,2021-04-05,poor,11,78000,3,partial,Mazda,Mazda3,,,Black,,1811,2000,1292
KV13JXM,2021-04-05,good,8.1,81918,3,full,Audi,A5,,,Black,,6529,6598,5828
RF15URD,2021-04-05,average,6,65800,2,full,SKODA,Superb,,,Black,,7621,6856,6016
FE13BRF,2021-04-05,average,8,72000,1,partial,Ford,Fiesta,,,Black,,3234,2880,2608
DU10HGX,2021-04-05,good,11,42000,3,partial,Honda,Civic,,,Black,,4390,4314,4018
EJ11AUL,2021-04-05,good,9.9,108000,2,full,Audi,A3,,,Black,,2357,2132,2467
CK65GKJ,2021-04-05,average,5.4,68000,2,full,Mercedes-Benz,GLE Class,,,Black,,24651,23866,21432
MS60TTE,2021-04-05,good,7.6,89000,2,partial,MINI,Countryman,,,Grey,,3701,3186,3783
KY65SZL,2021-04-05,good,5.6,79000,2,partial,Peugeot,208,,,Grey,,3183,3285,2867
LN59RYH,2021-04-05,good,11.6,122874,4,partial,BMW,3 Series,,,Grey,,2591,1403,1645
SE08KZR,2021-04-05,poor,12.6,82072,3,partial,Ford,Focus,,,Silver,,1687,677,987
YC12CPZ,2021-04-05,poor,8.9,121000,3,partial,Alfa Romeo,Giulietta,,,Black,,1946,1595,1504
CK59UBF,2021-04-05,poor,11.2,125000,2,none,Nissan,Qashqai,,,Black,,1488,1014,1245
LO63DHD,2021-04-05,excellent,7.3,50700,1,full,BMW,3 Series,,,White,,8411,9215,8930
MM62DXB,2021-04-05,good,8.1,29174,1,full,Nissan,Note,,,Blue,,4057,3684,3830
YW14FFP,2021-04-05,poor,6.6,80000,3,partial,Vauxhall,Astra GTC,,,White,,3717,3311,2820
CK64CAO,2021-04-05,average,6.4,78000,2,none,Ford,Focus,,,Black,,3939,3718,3736
GM14VCW,2021-04-05,excellent,6.8,55000,0,partial,Hyundai,i10,,,Grey,,2514,2820,2820
EK58LWF,2021-04-05,poor,12.5,89000,3,partial,BMW,3 Series,,,Silver,,2602,2064,1809
WD12UXG,2021-04-05,good,9,85000,3,partial,Land Rover,Discovery 4,,,Black,,13805,13518,11656
JU57NMS,2021-04-05,good,6.2,68000,1,full,Volkswagen,Golf,,,Blue,,13602,12759,12408
SA15AZT,2021-04-05,good,5.7,120000,3,partial,Jeep,Renegade,,,Red,,5051,4286,4747
RF12CHV,2021-04-05,good,8.8,55000,1,full,SKODA,Citigo,,,Silver,,2452,1882,1880
LC14SYJ,2021-04-05,good,6.7,36198,4,full,Audi,A3,,,White,,7202,6568,7426
JA53XLH,2021-04-05,poor,13.1,122000,2,partial,Ford,C-Max,,,Blue,,232,318,305
KW13AEP,2021-04-05,good,7.7,95000,1,partial,BMW,5 Series,,,Black,,5673,5309,5405
WN08UGL,2021-04-05,average,13,73860,4,partial,Fiat,Grande Punto,,,Black,,512,419,493
LN60XEZ,2021-04-05,average,10.5,89000,2,partial,Ford,Focus,,,Red,,1332,667,1104
EN11SXU,2021-04-05,average,9.8,98000,3,full,Fiat,500,,,White,,1297,613,963
LC56CLX,2021-04-05,poor,14.5,41600,2,partial,Kia,Picanto,,,Blue,,471,477,352
2181W,2021-04-05,good,10.7,49000,2,full,Volkswagen,Scirocco,,,Grey,,5560,4314,4606
MW61WPK,2021-04-05,average,9.2,56000,2,none,Vauxhall,Corsa,,,Brown,,1842,1014,1527
SM06UPV,2021-04-05,good,14.9,73000,2,partial,BMW,3 Series,,,Black,,1637,1600,1715
RK12ULO,2021-04-05,good,9.1,38999,1,partial,Vauxhall,Corsa,,,Grey,,2090,1765,2021
AV13JXG,2021-04-05,excellent,7.8,46000,1,partial,Audi,A1,,,Red,,6781,7000,7003
ST15CEV,2021-04-05,good,6,39000,1,full,Vauxhall,Corsa,,,Red,,3308,3402,3149
BG07NBM,2021-04-05,average,13.9,136000,4,partial,Citroen,Grand C4 Picasso,,,Purple,,360,342,399
CN64VAO,2021-04-05,good,6.6,83000,1,full,Ford,Kuga,,,White,,5430,5159,5217
EO61SXP,2021-04-05,good,9.6,143000,1,full,Ford,Fiesta,,,White,,1095,727,1128
SM12KOD,2021-04-05,good,8.9,82000,2,full,Ford,Fiesta,,,White,,1903,1695,1927
YC63VRO,2021-04-05,average,7.3,91900,3,partial,Volvo,V40,,,Grey,,3849,3236,3736
SJ55MUM,2021-04-05,average,12.3,98500,4,partial,Mercedes-Benz,M Class,,,Black,,4467,3459,3102
LC59AOT,2021-04-05,good,11.4,60000,3,partial,Smart,fortwo,,,White,,1580,1168,1339
RV09NLJ,2021-04-05,average,12.1,170000,1,partial,Audi,A6 Saloon,,,Silver,,541,744,1128
SH09YOM,2021-04-05,average,11.9,150000,2,partial,Nissan,Qashqai,,,Black,,742,598,799
SV61PWY,2021-04-05,average,9.6,65000,1,partial,Honda,Civic,,,Blue,,3106,2592,2702
MT09JJU,2021-04-05,good,11.8,96000,2,full,Toyota,Auris,,,Black,,1094,759,1245
RK57VLZ,2021-04-05,good,13.6,125000,2,full,Audi,Q7,,,Grey,,4550,4314,4230
BG63WTL,2021-04-05,good,7.3,39000,2,partial,Ford,Focus,,,Silver,,4113,3182,4206
CK07RNF,2021-04-05,average,14,120000,3,full,Volkswagen,Golf,,,Silver,,2632,2221,1927
NU11LGG,2021-04-05,average,9.9,96000,2,full,Chevrolet,Aveo,,,Black,,189,181,352
SW12DXB,2021-04-05,average,8.9,92500,1,partial,Vauxhall,Zafira,,,Black,,1486,975,1292
ML59JML,2021-04-05,excellent,11.5,64500,2,full,Vauxhall,Insignia,,,Grey,,1241,1500,1269
CT12APT,2021-04-05,good,3.5,61000,2,full,Hyundai,i30,,,Red,,6589,6443,6580
YX10YXB,2021-04-05,average,11,29000,2,full,MINI,Hatch,,,Silver,,3917,2885,3055
VK11XDL,2021-04-05,good,10,86000,3,partial,Audi,A1,,,Brown,,3352,2977,3243
DN16WCT,2021-04-05,good,5,95000,1,full,Vauxhall,Insignia,,,Red,,3243,3209,3196
EX13WJA,2021-04-05,good,8,79000,2,partial,Hyundai,i30,,,Grey,,2715,2045,2491
MD63PHO,2021-04-05,good,7.1,86955,3,partial,Ford,Fiesta,,,White,,2510,1891,2514
EK56RAU,2021-04-05,average,14.5,78790,3,partial,Ford,Fiesta,,,Black,,554,396,470
GK13DJE,2021-04-05,good,8.1,53000,2,full,Audi,A6 Saloon,,,Silver,,6240,5625,5828
KP09FVE,2021-04-05,average,11.9,65000,2,partial,Mercedes-Benz,B Class,,,Blue,,2461,2045,2091
RO61EFX,2021-04-05,poor,9.6,100622,1,full,Ford,Mondeo,,,Silver,,2572,1809,1621
FT62HLV,2021-04-05,good,8.2,79000,2,none,Kia,Sportage,,,White,,5339,4314,5029
MT61YDX,2021-04-05,excellent,9.2,59650,2,full,Land Rover,Range Rover,,,Grey,,14813,15305,13019
Y25VEN,2021-04-05,good,7.5,83000,3,partial,Volkswagen,Golf,,,Grey,,4633,3716,4371
R3GOV,2021-04-05,good,6.7,91782,2,full,SEAT,Leon,,,Grey,,3666,3318,3407
VU56WXF,2021-04-05,average,14.4,135000,2,none,Ford,S-Max,,,Silver,,626,483,705
EN62NWE,2021-04-05,poor,8.2,58923,2,partial,Citroen,C1,,,Blue,,1540,1076,1010
SW11FHP,2021-04-05,average,9.8,49000,2,none,Vauxhall,Corsa,,,Silver,,1521,954,1504
LX63XYF,2021-04-05,good,7.4,20000,0,full,Kia,Rio,,,Grey,,4206,3291,3971
FL13XSB,2021-04-05,average,7.8,102450,2,none,Ford,Fiesta,,,Blue,,1902,1411,1880
PL08PVT,2021-04-05,poor,12.7,85000,3,partial,Vauxhall,Corsa,,,Blue,,643,417,446
YG12RUW,2021-04-05,good,9.1,122000,3,partial,Kia,Sportage,,,Black,,3062,2750,2843
OY06ABK,2021-04-05,good,15.1,95000,2,partial,Audi,A3,,,Black,,1265,686,1198
LIG4054,2021-04-05,good,8.1,34000,2,full,Citroen,DS3,,,Red,,3219,2409,2867
GV58BLX,2021-04-05,good,12.2,43000,3,partial,Peugeot,207 SW,,,Grey,,1841,620,1010
FL57NDC,2021-04-05,good,13.6,96500,1,partial,Volkswagen,Polo,,,Silver,,1351,864,1081
WM63LEJ,2021-04-05,average,7.6,71500,2,none,Peugeot,3008,,,White,,3555,2807,3337
GY64EWH,2021-04-05,average,6.4,66641,1,full,Toyota,Yaris,,,Black,,5371,5168,5076
MK60WYA,2021-04-05,poor,10.6,50480,2,full,Volkswagen,Fox,,,Yellow,,1078,663,893
SG57CZZ,2021-04-05,good,13.4,88300,2,full,Suzuki,Grand Vitara,,,Beige,,1427,1200,1504
CU13OZD,2021-04-05,good,8,90000,3,partial,Vauxhall,Zafira,,,White,,1767,1559,1715
GD14GNN,2021-04-05,average,6.9,190000,2,partial,Volkswagen,Passat,,,White,,1240,954,1433
PY12NFH,2021-04-05,average,9.1,76000,2,full,SKODA,Fabia,,,Blue,,3224,2473,2561
YK11MYL,2021-04-05,good,10.1,103000,1,partial,Peugeot,107,,,Silver,,577,504,822
G17OBR,2021-04-05,average,5.5,60000,2,partial,Nissan,Pulsar,,,White,,4057,3641,3595
BV64LBE,2021-04-05,good,6.2,60000,1,partial,Vauxhall,Astra,,,White,,3133,3032,3266
