,,,,,,,
VRM,PurchaseDate,SaleDate,Mileage,GradeatAuction,TradeValuation2,SalePrice,Sale_TradeValuation2
FM08KDZ,2021-04-05,2021-05-04,119925,4,2675,1900,71.00%
YG61NDL,2021-04-05,2021-04-22,40154,4,8000,8600,107.50%
FE60ZLU,2021-04-05,2021-04-19,71844,3,2575,3000,116.50%
LM13OUB,2021-04-05,2021-04-26,91026,4,1750,1250,71.40%
BN57VTD,2021-04-05,2021-06-10,106297,4,1150,1150,100.00%
EF58MGE,2021-04-05,2021-04-26,92656,3,990,825,83.30%
YH64POJ,2021-04-05,2021-04-29,29645,3,3675,3800,103.40%
GU12EVC,2021-04-05,2021-05-06,59206,3,5275,5300,100.50%
FN64HHT,2021-04-05,2021-04-22,70608,4,2775,2625,94.60%
FL13XSB,2021-04-05,2021-04-22,102814,3,2400,2275,94.80%
SP09HSU,2021-04-05,2021-04-22,107766,5,1150,725,63.00%
NL62BYR,2021-04-05,2021-04-26,89889,4,2125,1800,84.70%
EF10GVV,2021-04-05,2021-04-26,75569,3,1250,1100,88.00%
SJ55MUM,2021-04-05,2021-04-29,98503,4,4525,4050,89.50%
SV61PWY,2021-04-05,2021-04-29,65034,4,3350,2750,82.10%
MK10HJJ,2021-04-05,2021-04-29,78468,3,1050,975,92.90%
AO15YNU,2021-04-05,2021-05-13,70676,4,4575,4250,92.90%
NH57XPL,2021-04-05,2021-04-29,44024,4,2175,2150,98.90%
OU12ZGF,2021-04-05,2021-05-13,58258,4,2400,2175,90.60%
SE08KZR,2021-04-05,2021-04-29,82153,4,1425,1100,77.20%
VE59DDO,2021-04-05,2021-06-10,92088,4,2175,2000,92.00%
FE13WCW,2021-04-05,2021-04-22,59835,3,3400,3750,110.30%
PL08PVT,2021-04-05,2021-05-06,83879,5,870,450,51.70%
EX13WJA,2021-04-06,2021-04-26,68307,2,2900,3400,117.20%
PY13CXX,2021-04-06,2021-04-22,52762,3,5450,6050,111.00%
VN60SCX,2021-04-06,2021-04-29,68346,3,2100,2000,95.20%
VK11WUV,2021-04-06,2021-05-06,54518,5,2275,1625,71.40%
KS09TUW,2021-04-06,2021-04-26,84320,4,2175,1800,82.80%
MA64VDG,2021-04-06,2021-04-15,44292,3,4050,4100,101.20%
BK12HLD,2021-04-06,2021-05-06,64122,4,2850,2250,78.90%
HJ10URU,2021-04-06,2021-04-26,112110,4,940,625,66.50%
GK16FNO,2021-04-06,2021-04-19,85189,3,7875,8400,106.70%
FE10KFJ,2021-04-06,2021-04-22,88947,4,2025,1850,91.40%
CV61VKK,2021-04-06,2021-04-22,96729,4,3250,2700,83.10%
YF61WBE,2021-04-06,2021-05-06,105689,4,3875,3250,83.90%
KS10AVT,2021-04-06,2021-04-29,62413,4,940,775,82.40%
FJ14WBT,2021-04-06,2021-04-26,53611,3,3625,3850,106.20%
MM10KJE,2021-04-06,2021-04-29,74962,4,1825,1500,82.20%
YP63UOD,2021-04-06,2021-05-04,57265,4,2325,2050,88.20%
YX12HRD,2021-04-06,2021-04-26,89294,3,4200,4250,101.20%
RO56DVJ,2021-04-06,2021-05-10,42290,3,2225,2400,107.90%
ST58CXX,2021-04-06,2021-05-06,64169,4,1325,1250,94.30%
KY65SZL,2021-04-06,2021-04-22,79863,3,3300,3000,90.90%
LV62OCN,2021-04-06,2021-04-26,37681,3,4200,4050,96.40%
WM64ARZ,2021-04-06,2021-04-26,20133,4,3125,2500,80.00%
DE14UAM,2021-04-06,2021-04-29,71672,4,6025,5400,89.60%
MK60WYA,2021-04-06,2021-04-29,50508,5,1275,900,70.60%
MD63PHO,2021-04-07,2021-04-29,87866,3,2600,2500,96.20%
DU63DYB,2021-04-07,2021-04-22,62929,3,2425,3450,142.30%
RE58FDC,2021-04-07,2021-04-29,88743,4,1150,900,78.30%
MW12YNC,2021-04-07,2021-05-04,100724,2,2375,2100,88.40%
GK62OCO,2021-04-07,2021-05-04,72592,4,2825,4300,152.20%
DA56LKY,2021-04-07,2021-06-24,122716,4,920,550,59.80%
RE11WXX,2021-04-07,2021-04-29,48962,3,1475,1350,91.50%
GY64UCD,2021-04-07,2021-04-19,45120,4,3550,3200,90.10%
SA07DXO,2021-04-07,2021-05-17,69668,4,2100,1725,82.10%
DF59NPG,2021-04-07,2021-05-06,23480,4,3225,3550,110.10%
KN09PBF,2021-04-07,2021-04-29,49222,4,3775,3400,90.10%
LG57HPV,2021-04-07,2021-04-26,76014,4,1050,575,54.80%
WM15TKA,2021-04-07,2021-05-10,22978,3,3550,3200,90.10%
EO12LJY,2021-04-07,2021-04-29,60474,3,2750,3000,109.10%
NV06MGZ,2021-04-07,2021-04-29,121638,4,1425,1350,94.70%
NK63OWV,2021-04-07,2021-04-26,71918,4,3675,3950,107.50%
NV10FFB,2021-04-07,2021-04-29,70429,4,2225,1800,80.90%
GY60FSN,2021-04-07,2021-05-04,73567,4,1925,1450,75.30%
NJ59TXS,2021-04-07,2021-05-06,90310,4,760,600,78.90%
NV14GPF,2021-04-07,2021-05-01,86598,,6900,6900,100.00%
VN64JFE,2021-04-07,2021-04-22,64847,3,4950,4900,99.00%
GU59CNA,2021-04-07,2021-04-26,101248,4,2850,2350,82.50%
WK08JFG,2021-04-07,2021-04-26,63039,3,750,975,130.00%
HV60ZFM,2021-04-07,2021-05-04,29394,4,1800,1350,75.00%
