Year,January,February,March,April,May,June,July,August,September,October,November,December
2017,2295668,2035771,2205664,2578970,2294717,2346442,2681518,2477428,2280406,2595148,2378079,2521262
2016,1851895,1891375,2009550,2081697,1893574,1985722,2296451,2049234,1918246,2135904,1875404,2050648
2015,1218393,1386982,1525879,1764691,1641734,1602198,1918356,1817023,1612208,1829265,1647550,1773130
2014,944009,880020,1050559,1231471,1097211,1055273,1270048,1109569,1099102,1271705,1168427,1236073
2013,668610,729460,857024,923017,875408,901066,1003032,906379,866966,928560,839891,864491
2012,681786,546451,676662,779481,667046,682932,847194,774239,658239,705848,648548,689679
2011,714099,679393,352676,295826,357783,432883,561489,546503,538727,615701,551571,572101
2010,640346,664982,709684,788212,721348,677064,878582,802725,717756,727278,634818,648380
2009,580673,408628,568586,626313,485713,424427,632722,679586,535544,655481,565089,626896
2008,711350,696326,731619,779909,736122,681563,825012,742022,641235,738832,553491,513354
2007,617885,631278,684654,714014,664489,631874,807737,757473,689183,785207,686747,676428
2006,613596,513906,579197,672319,586326,557600,701527,655488,573627,699605,595069,585817
2005,516280,519460,557640,584406,530752,551134,669172,618655,540462,599539,526229,514197
2004,538334,417519,488778,546662,500830,505003,610190,567869,481570,539353,486403,455394
2003,450847,394869,456614,354054,288562,352431,515692,550380,457574,527859,444435,418408
